scene	center	radius
1LXtFkjw3qL	-6.0034,0.0844,12.8281	1.0
1pXnuDYAj8r	6.9205,0.1141,-0.0254	1.0
29hnd4uzFmX	-5.3817,-0.209,-1.465	1.0
2azQ1b91cZZ	16.887,0.1271,-0.9509	1.0
2n8kARJN3HM	0.5651,-3.4688,12.5316	1.0
2t7WUuJeko7	2.7018,0.1633,0.0012	0.8442
5LpN3gDmAk7	13.6789,-1.112,6.652	1.0
5q7pvUzZiYa	19.5986,-3.3966,-1.503	1.0
5ZKStnWn8Zo	18.249,-3.0791,0.6801	1.0
759xd9YjKW5	-8.3482,0.0967,-1.1007	1.0
7y3sRwLe3Va	-1.5,-2.6482,8.1069	1.0
8194nk5LbLH	-3.0413,0.0986,-2.2034	0.9973
82sE5b5pLXE	-14.8821,0.3378,-11.7243	0.9568
8WUmhLawc2A	-0.458,0.1007,0.2459	0.9562
aayBHfsNo7d	11.3923,0.0283,4.5793	1.0
ac26ZMwG7aT	-0.2389,0.0953,0.4155	1.0
ARNzJeq3xxb	-4.3504,0.1498,-4.9749	1.0
B6ByNegPMKs	68.296,0.0802,-25.1686	1.0
b8cTxDM8gDG	-22.0122,0.5237,-2.1754	1.0
cV4RVeZvu5T	-3.2989,0.9185,7.6245	1.0
D7G3Y4RVNrH	-0.2337,0.0407,-8.6821	0.4998
D7N2EKCX4Sj	-5.211,-3.1921,12.6494	1.0
dhjEzFoUFzH	-6.9063,0.1615,-6.4208	1.0
E9uDoFAP3SH	-11.5169,-5.9556,-0.8244	1.0
e9zR4mvMWw7	6.8679,-0.7133,3.3192	1.0
EDJbREhghzL	1.0603,3.4426,1.8772	1.0
EU6Fwq7SyZv	3.6891,0.0181,8.6455	1.0
fzynW3qQPVF	34.2699,0.0724,-11.902	1.0
gTV8FGcVJC9	-6.1738,0.2377,18.1828	1.0
gxdoqLR6rwA	1.1704,0.1634,-12.2659	1.0
